시간,대화내용
1700649334159,"[시스템] (19:35) 관리자님께서 입장하셨습니다."
1700649336822,"[시스템] (19:35) 하양감자님께서 입장하셨습니다."
1700649348082,"[하양감자] (19:35) 안녕하세요 "
1700649350851,"[시스템] (19:35) 연두피망님께서 입장하셨습니다."
1700649366922,"[연두피망] (19:36) 오! 당신은 연두피망에 대해 들어본?"
1700649371947,"[연두피망] (19:36) 놀라운 당신의 승리!"
1700649373785,"[하양감자] (19:36) ㄷㄷ"
1700649388836,"[시스템] (19:36) 하양감자님께서 퇴장하셨습니다."
1700649394877,"[시스템] (19:36) 연두피망님께서 퇴장하셨습니다."
1700649401744,"[시스템] (19:36) 하양감자님께서 입장하셨습니다."
1700706953932,"[시스템] (11:35) 연두상추님께서 입장하셨습니다."
1700706964161,"[시스템] (11:36) 하양피망님께서 입장하셨습니다."
1700706969298,"[시스템] (11:36) 빨강보리님께서 입장하셨습니다."
1700706974494,"[시스템] (11:36) 초록당근님께서 입장하셨습니다."
1700706977155,"[하양피망] (11:36) 안녕하세요"
1700706981243,"[빨강보리] (11:36) !"
1700706981243,"[하양피망] (11:36) 저는 피망"
1700706981254,"[시스템] (11:36) 연두상추님께서 입장하셨습니다."
1700706981440,"[시스템] (11:36) 보라자두님께서 입장하셨습니다."
1700706981842,"[초록당근] (11:36) 하이루"
1700706983934,"[시스템] (11:36) 보라자두님께서 퇴장하셨습니다."
1700706986200,"[시스템] (11:36) 보라자두님께서 입장하셨습니다."
1700706988059,"[연두상추] (11:36) 노란배추"
1700706990247,"[연두상추] (11:36) 오"
1700706990868,"[초록당근] (11:36) 저는 초록당근입니당"
1700706994544,"[연두상추] (11:36) 오늘 연두상추야"
1700706995395,"[하양피망] (11:36) 당근 하이하이"
1700706997651,"[초록당근] (11:36) ㅎㅎㅎㅎ"
1700706999509,"[연두상추] (11:36) 연두해요"
1700707000220,"[시스템] (11:36) 분홍자두님께서 입장하셨습니다."
1700707004305,"[시스템] (11:36) 관리자님께서 입장하셨습니다."
1700707006544,"[연두상추] (11:36) 분홍자두 기여어"
